LotArea,OverallQual,OverallCond,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,Heating,HeatingQC,CentralAir,Bedrooms,Kitchens,KitchenQual,TotalRooms,Functional,GarageCars,PavedDrive,Fence,MiscFeature,MiscVal,SalePrice
14115,7,5,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,6,Typ,2,Y,,,0,187500
9541,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,233170
9750,7,6,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,2,Y,,,0,274300
2651,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,165000
8125,6,5,TA,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,193500
9375,8,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,9,Typ,2,Y,,,0,250000
6040,4,5,TA,TA,PConc,,,GasA,TA,False,2,2,Fa,6,Typ,0,N,,,0,82000
50271,9,5,Gd,TA,CBlock,Ex,TA,GasA,Gd,True,0,1,Gd,5,Typ,3,Y,,,0,385000
11751,6,6,TA,TA,CBlock,Gd,TA,GasA,Ex,True,3,1,TA,7,Typ,2,Y,MnPrv,,0,190000
13825,5,6,TA,Gd,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Min2,1,Y,,,0,140000
7340,4,6,TA,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,4,Typ,1,Y,,,0,110000
11316,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,4,1,Gd,8,Typ,2,Y,,,0,214900
1680,6,5,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,7,Typ,0,N,,,0,91500
12224,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,244000
9250,5,7,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,1,Y,,,0,139400
10593,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,260400
1680,6,7,TA,TA,CBlock,TA,TA,GasA,Gd,True,3,1,TA,7,Typ,1,Y,,,0,118000
10637,8,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,297000
14720,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,4,1,Gd,9,Typ,3,Y,,,0,410000
5232,5,5,TA,TA,BrkTil,Fa,TA,GasA,Gd,False,2,1,TA,4,Typ,2,N,,,0,73000
29959,7,6,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Typ,2,Y,,,0,248000
2522,6,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,7,Maj1,2,Y,,,0,130000
10930,5,6,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,1,Y,,,0,140000
14963,8,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,1,1,Ex,4,Typ,2,Y,,,0,245500
8250,6,7,TA,TA,CBlock,Gd,TA,GasA,Ex,True,3,1,TA,6,Typ,2,Y,MnPrv,,0,145000
9808,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,6,Typ,2,Y,,,0,227000
12513,4,4,TA,Gd,BrkTil,TA,Fa,GasA,Gd,True,4,1,TA,7,Typ,1,Y,,,0,104900
11207,6,5,TA,TA,PConc,Gd,TA,GasA,Gd,True,3,1,TA,8,Typ,2,Y,,,0,185000
1953,6,5,TA,TA,CBlock,TA,Fa,GasA,TA,True,2,1,TA,5,Typ,1,Y,,,0,83000
9405,5,9,TA,Ex,CBlock,TA,TA,GasA,Ex,True,2,1,TA,4,Typ,0,Y,,,0,118000
7800,5,7,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,5,Typ,2,Y,MnPrv,,0,119900
9297,5,5,TA,TA,CBlock,TA,TA,GasA,TA,True,4,2,TA,8,Typ,2,Y,,,0,188000
10625,7,5,Gd,TA,PConc,Gd,TA,GasA,Ex,True,3,1,Gd,8,Typ,3,Y,,,0,284000
7018,5,5,TA,TA,Slab,,,GasA,TA,True,4,2,TA,8,Typ,2,Y,,,0,118858
11694,9,5,Ex,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,9,Typ,3,Y,,,0,314813
10615,3,5,TA,TA,CBlock,Fa,TA,GasA,TA,True,3,2,TA,7,Typ,2,Y,,,0,95000
11478,8,5,Gd,TA,PConc,Ex,TA,GasA,Ex,True,3,1,Gd,7,Typ,3,Y,,,0,306000
18000,3,4,Fa,TA,CBlock,TA,TA,GasA,TA,True,2,1,TA,6,Typ,3,Y,,Shed,560,81000
2217,4,4,TA,TA,CBlock,TA,TA,GasA,TA,True,3,1,TA,6,Typ,1,Y,,,0,88000
13175,6,6,TA,TA,CBlock,Gd,TA,GasA,TA,True,3,1,TA,7,Min1,2,Y,MnPrv,,0,210000
